C1,Part 1,0.1uF,CAP_0603,,,,,,,,,,,,
C12,Part 1,0.1uF,CAP_0603,,,,18,0.1uF,CAP_0603,490-1575-1-ND,,54,,,
C14,Part 1,0.1uF,CAP_0603,,,,4,18pF,CAP_0603,490-1409-1-ND,,12,,,
C15,Part 1,0.1uF,CAP_0603,,,,7,10K,RES_0603,P10KGCT-ND,,21,,,
C16,Part 1,0.1uF,CAP_0603,,,,2,10nF,CAP_0603,490-1512-1-ND,,6,,,
C17,Part 1,0.1uF,CAP_0603,,,,4,10R,RES_0603,P10GCT-ND,,12,,,
C18,Part 1,0.1uF,CAP_0603,,,,2,10uF,CAP_0603,399-3683-1-ND,,6,,,
C19,Part 1,0.1uF,CAP_0603,,,,2,10uF 25V,CAP_1210,490-1867-1-ND,,6,,,
C20,Part 1,0.1uF,CAP_0603,,,,2,1K,RES_0603,P1.00KHCT-ND,,6,,,
C23,Part 1,0.1uF,CAP_0603,,,,2,1uF,CAP_0603,490-1585-1-ND,,6,,,
C3,Part 1,0.1uF,CAP_0603,,,,2,1uF 16V,CAP_0603,0-1536-1-ND,,6,,,
C37,Part 1,0.1uF,CAP_0603,,,,1,2.1K,RES_0603,311-2.10KHRCT-ND,,3,,,
C4,Part 1,0.1uF,CAP_0603,,,,2,30K,RES_0603,P30KGCT-ND,,6,,,
C5,Part 1,0.1uF,CAP_0603,,,,2,39nF,CAP_0603,478-1234-1-ND,,6,,,
C6,Part 1,0.1uF,CAP_0603,,,,2,56uF,CAP_E60,565-3125-1-ND,,6,,,
C7,Part 1,0.1uF,CAP_0603,,,,2,8MHz,ABM3_8MHz,535-10630-1-ND,,6,,,
C8,Part 1,0.1uF,CAP_0603,,,,17,BLM18HE102SN1D,IND_0603,490-5215-1-ND,,51,,,
C9,Part 1,0.1uF,CAP_0603,,,,3,B340A_13_F,,B340A-FDICT-ND,,9,,,
R10,Part 1,10K,RES_0603,,,,2,dsPIC33FJ256GP710_TQFP,,DSPIC33FJ256GP710A-I/PT-ND,,6,,,
R3,Part 1,10K,RES_0603,,,,1,PIC24F16KA101_QFN,,PIC24F16KA101-I/MQ-ND,,3,,,
R30,Part 1,10K,RES_0603,,,,5,MiniSPOX3,,WM18887-ND,,15,,,
R32,Part 1,10K,RES_0603,,,,3,MiniSPOX5,,WM18889-ND,,9,,,
R6,Part 1,10K,RES_0603,,,,5,MiniSPOX6,,WM18890-ND,,15,,,
R8,Part 1,10K,RES_0603,,,,1,TQ4_5V,,255-1013-5-ND,,3,,,
R9,Part 1,10K,RES_0603,,,,1,SRR1260_100M,,SRR1260-100MCT-ND,,3,,,
C25,Part 1,10nF,CAP_0603,,,,1,SRR1260_270M,,SRR1260-270MCT-ND,,3,,,
C30,Part 1,10nF,CAP_0603,,,,1,MMBT3904,,MMBT3904TPMSCT-ND,,3,,,
R1,Part 1,10R,RES_0603,,,,1,LM22673-ADJ,,LM22673MRE-ADJCT-ND,,3,,,
R2,Part 1,10R,RES_0603,,,,1,LM22673-5.0,,LM22673MRE-5.0CT-ND,,3,,,
R4,Part 1,10R,RES_0603,,,,1,MCP1826S,,MCP1826S-3302E/DB-ND,,3,,,
R5,Part 1,10R,RES_0603,,,,,,,,,,,,
C13,Part 1,10uF,CAP_0603,,,,,,,,,,,,
C2,Part 1,10uF,CAP_0603,,,,,,,,,,,,
C28,Part 1,10uF 25V,CAP_1210,,,,,,,,,,,,
C33,Part 1,10uF 25V,CAP_1210,,,,,,,,,,,,
C10,Part 1,18pF,CAP_0603,,,,,,,,,,,,
C11,Part 1,18pF,CAP_0603,,,,,,,,,,,,
C21,Part 1,18pF,CAP_0603,,,,,,,,,,,,
C22,Part 1,18pF,CAP_0603,,,,,,,,,,,,
R11,Part 1,1K,RES_0603,,,,,,,,,,,,
R7,Part 1,1K,RES_0603,,,,,,,,,,,,
C35,Part 1,1uF,CAP_0603,,,,,,,,,,,,
C36,Part 1,1uF,CAP_0603,,,,,,,,,,,,
C27,Part 1,1uF 16V,CAP_0603,,,,,,,,,,,,
C32,Part 1,1uF 16V,CAP_0603,,,,,,,,,,,,
R12,Part 1,2.1K,RES_0603,,,,,,,,,,,,
R29,Part 1,30K,RES_0603,,,,,,,,,,,,
R31,Part 1,30K,RES_0603,,,,,,,,,,,,
C26,Part 1,39nF,CAP_0603,,,,,,,,,,,,
C31,Part 1,39nF,CAP_0603,,,,,,,,,,,,
C24,Part 1,56uF,CAP_E60,,,,,,,,,,,,
C29,Part 1,56uF,CAP_E60,,,,,,,,,,,,
X1,Part 1,8MHz,ABM3_8MHz,,,,,,,,,,,,
X2,Part 1,8MHz,ABM3_8MHz,,,,,,,,,,,,
L1,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L10,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L11,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L12,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L13,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L14,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L15,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L16,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L17,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L2,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L3,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L4,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L5,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L6,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L7,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L8,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
L9,Part 1,BLM18HE102SN1D,IND_0603,,,,,,,,,,,,
R13,Part 1,dnp,RES_0603,,,,,,,,,,,,
R14,Part 1,dnp,RES_0603,,,,,,,,,,,,
R15,Part 1,dnp,RES_0603,,,,,,,,,,,,
R16,Part 1,dnp,RES_0603,,,,,,,,,,,,
R17,Part 1,dnp,RES_0603,,,,,,,,,,,,
R18,Part 1,dnp,RES_0603,,,,,,,,,,,,
R19,Part 1,dnp,RES_0603,,,,,,,,,,,,
R20,Part 1,dnp,RES_0603,,,,,,,,,,,,
R21,Part 1,dnp,RES_0603,,,,,,,,,,,,
R22,Part 1,dnp,RES_0603,,,,,,,,,,,,
R23,Part 1,dnp,RES_0603,,,,,,,,,,,,
R24,Part 1,dnp,RES_0603,,,,,,,,,,,,
R25,Part 1,dnp,RES_0603,,,,,,,,,,,,
R26,Part 1,dnp,RES_0603,,,,,,,,,,,,
R27,Part 1,dnp,RES_0603,,,,,,,,,,,,
R28,Part 1,dnp,RES_0603,,,,,,,,,,,,
RefDes,Part,Value,Type,,,,,,,,,,,,
D1,Part 1,,1N914BWT,,,,,,,,,,,,
D2,Part 1,,B340A_13_F,,,,,,,,,,,,
D3,Part 1,,B340A_13_F,,,,,,,,,,,,
D4,Part 1,,B340A_13_F,,,,,,,,,,,,
IC1,Part 1,,dsPIC33FJ256GP710_TQFP,,,,,,,,,,,,
IC2,Part 1,,dsPIC33FJ256GP710_TQFP,,,,,,,,,,,,
IC3,Part 1,,PIC24F16KA101_QFN,,,,,,,,,,,,
J1,Part 1,,Jumper,,,,,,,,,,,,
J10,Part 1,,SERVO,,,,,,,,,,,,
J11,Part 1,,SERVO,,,,,,,,,,,,
J12,Part 1,,SERVO,,,,,,,,,,,,
J13,Part 1,,SERVO,,,,,,,,,,,,
J14,Part 1,,SERVO,,,,,,,,,,,,
J15,Part 1,,SERVO,,,,,,,,,,,,
J16,Part 1,,SERVO,,,,,,,,,,,,
J17,Part 1,,SERVO,,,,,,,,,,,,
J18,Part 1,,SERVO,,,,,,,,,,,,
J19,Part 1,,Jumper_2,,,,,,,,,,,,
J2,Part 1,,Jumper,,,,,,,,,,,,
J20,Part 1,,Jumper_2,,,,,,,,,,,,
J21,Part 1,,Jumper_2,,,,,,,,,,,,
J22,Part 1,,Jumper_2,,,,,,,,,,,,
J23,Part 1,,Jumper_2,,,,,,,,,,,,
J24,Part 1,,Jumper_2,,,,,,,,,,,,
J25,Part 1,,Jumper_2,,,,,,,,,,,,
J26,Part 1,,Jumper_2,,,,,,,,,,,,
J27,Part 1,,MiniSPOX5,,,,,,,,,,,,
J28,Part 1,,MiniSPOX6,,,,,,,,,,,,
J29,Part 1,,MiniSPOX6,,,,,,,,,,,,
J3,Part 1,,SERVO,,,,,,,,,,,,
J30,Part 1,,MiniSPOX6,,,,,,,,,,,,
J31,Part 1,,MiniSPOX3,,,,,,,,,,,,
J32,Part 1,,MiniSPOX3,,,,,,,,,,,,
J33,Part 1,,MiniSPOX6,,,,,,,,,,,,
J34,Part 1,,MiniSPOX3,,,,,,,,,,,,
J35,Part 1,,MiniSPOX6,,,,,,,,,,,,
J36,Part 1,,MiniSPOX3,,,,,,,,,,,,
J37,Part 1,,MiniSPOX5,,,,,,,,,,,,
J38,Part 1,,MiniSPOX5,,,,,,,,,,,,
J39,Part 1,,Jack,,,,,,,,,,,,
J4,Part 1,,SERVO,,,,,,,,,,,,
J40,Part 1,,Jack,,,,,,,,,,,,
J41,Part 1,,MiniSPOX3,,,,,,,,,,,,
J5,Part 1,,SERVO,,,,,,,,,,,,
J6,Part 1,,SERVO,,,,,,,,,,,,
J7,Part 1,,SERVO,,,,,,,,,,,,
J8,Part 1,,SERVO,,,,,,,,,,,,
J9,Part 1,,SERVO,,,,,,,,,,,,
K1,Part 1,,TQ4_5V,,,,,,,,,,,,
L18,Part 1,,SRR1260_100M,,,,,,,,,,,,
L19,Part 1,,SRR1260_100M,,,,,,,,,,,,
Q1,Part 1,,MMBT3904,,,,,,,,,,,,
U1,Part 1,,LM22673-ADJ,,,,,,,,,,,,
U2,Part 1,,LM22673-5.0,,,,,,,,,,,,
U3,Part 1,,MCP1826S,,,,,,,,,,,,
